Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
FAM110C	228.0761508	174.1275322	147.9487104	398.8928934	305.1568133	357.1679706
RPS2	44761.91077	52947.85452	49939.1223	34329.36517	38468.6444	34428.09641
GPRC5A	68.81607999	94.61264756	90.05573675	172.9796196	205.7571999	167.9654781
P4HA1	2510.803833	2245.540603	2284.628274	3630.681525	3274.223267	3037.858388
MSRB1	1061.733806	1226.944866	1350.836051	825.1978576	796.1909038	811.833144
CRIM1	1878.678984	1869.103048	1377.638354	2655.189899	2517.792209	2613.118098
ANGPTL4	68.81607999	65.42363927	57.89297362	145.5675488	165.0033583	129.3527245
DHRS2	28261.78096	37496.80396	32726.68357	22446.70507	23909.58302	22274.73222
SPRY1	770.7400958	780.0510836	661.4808283	1175.883316	1076.497814	1034.821796
MPDU1	761.8923141	709.5948567	929.5038543	495.3077633	534.7699204	492.3126081
CA9	116.987336	107.6973754	96.48828937	269.3944896	178.9193042	221.0580142
RBM24	372.5899188	332.150784	307.6904339	544.4604421	565.5838006	506.7923907
ZMAT3	875.9303895	678.3928133	629.3180651	1243.940871	1082.461791	1131.35368
PAX6	101.2579463	63.41060421	81.47899991	199.4464467	156.0573931	191.1331302
CDK1	2521.617788	2194.208209	2115.237721	3390.589594	3256.331337	2994.41904
CAPNS1	5185.78317	5424.122954	5312.216376	3899.13077	4180.747742	4042.7553
FAT1	9731.576797	8569.490227	6821.722059	12983.86915	11795.75213	12719.04103
TMCC1	917.2200375	798.1683991	742.9598282	1292.148306	1220.627253	1134.249636
PTP4A3	12.78012914	40.26070109	9.648828937	75.61950585	111.3275671	81.08678251
ALDH4A1	6027.30552	6915.78193	6243.864415	4556.075228	4984.890615	4642.218299
GPX2	9323.595751	10306.73948	11182.99274	7514.688394	7685.578112	7575.822252
PIM1	2004.514101	1764.425225	1934.054156	2828.169519	2705.657478	2436.464751
RNASEH2C	413.8795668	587.8062359	503.8832889	303.4232672	276.3309254	306.0060721
CPTP	1207.23066	1239.023076	1198.598972	840.3217588	879.6865791	890.02397
PYM1	766.8077484	827.3574074	921.9992096	595.5036086	533.7759243	542.5091878
ERG28	1032.2412	922.9765725	1048.506078	677.7398212	727.6051705	658.3474485
ROMO1	1412.695813	2101.608597	1653.166025	994.3965019	1154.029512	1105.290071
GPX4	6335.011706	7687.780873	6969.670769	4983.325436	5366.58513	4880.652052
NFIL3	954.5773381	853.5268631	897.3410912	1439.606343	1233.549203	1240.434709
DUSP9	10497.40146	9833.676241	10694.11874	7893.731167	8153.750292	7820.047918
KDM3A	905.4229952	811.2531269	748.3202887	1335.629522	1224.603238	1103.359433
FTL	83662.6577	103917.9021	96206.32915	67630.30506	72511.02402	66405.24828
NOSIP	1255.401916	1410.131056	1490.208025	974.5463817	1013.876057	908.3650279
NDRG1	3764.239575	3386.931479	3641.896878	5520.223927	4708.559689	4677.935096
CCN2	4225.307311	3838.857849	3518.606286	5369.930159	5158.839938	5215.617689
